Hospital_ID,Hospital_Name,Date,Total_Beds,Occupied_Beds,Available_Beds,Total_Admissions,Total_Discharges,Emergency_Admissions,Outpatient_Visits
H006,Sunrise Community Hospital,2025-07-29,264,246,18,32,26.0,11.0,93.0
H005,PrimeCare Hospital,2025-11-26,275,193,82,23,26.0,9.0,142.0
H004,HealthFirst Medical Institute,2025-12-01,290,225,65,29,34.0,0.0,90.0
H006,Sunrise Community Hospital,2025-08-22,264,158,106,13,22.0,5.0,124.0
H004,HealthFirst Medical Institute,2025-09-24,290,204,86,17,20.0,11.0,67.0
H004,HealthFirst Medical Institute,2025-10-24,290,147,143,25,45.0,16.0,123.0
H001,MedCare General Hospital,2025-02-14,477,467,10,10,11.0,10.0,101.0
H006,Sunrise Community Hospital,2025-09-12,264,162,102,21,21.0,14.0,45.0
H005,PrimeCare Hospital,2025-09-27,275,132,143,7,25.0,7.0,74.0
H001,MedCare General Hospital,2025-03-15,477,320,157,26,24.0,9.0,89.0
H001,MedCare General Hospital,07/14/2025,477,350,127,19,18.0,12.0,102.0
H005,PrimeCare Hospital,2025-02-11,275,124,151,26,17.0,5.0,100.0
H004,HealthFirst Medical Institute,2025-06-27,290,240,50,33,29.0,6.0,175.0
H002,CityCare Medical Center,2025-03-22,207,181,26,36,9.0,6.0,160.0
H005,PrimeCare Hospital,2025-07-26,275,190,85,34,29.0,9.0,161.0
H007,Unity Wellness Hospital,2025-04-13,221,174,47,28,11.0,6.0,251.0
H002,CityCare Medical Center,2025-01-04,207,145,62,9,24.0,6.0,126.0
H005,PrimeCare Hospital,2025-06-29,275,230,45,30,41.0,17.0,123.0
H001,MedCare General Hospital,2025-02-26,477,349,128,30,14.0,15.0,205.0
H004,,2025-11-16,290,250,40,17,33.0,3.0,149.0
H007,Unity Wellness Hospital,2025-08-08,221,165,56,30,32.0,10.0,101.0
H004,HealthFirst Medical Institute,2025-01-05,290,164,126,23,6.0,6.0,183.0
H003,LifeLine Hospital,2025-04-15,162,86,76,23,16.0,7.0,112.0
H002,CityCare Medical Center,2025-03-09,207,121,86,26,33.0,10.0,183.0
H002,CityCare Medical Center,2025-01-03,207,158,49,15,23.0,9.0,111.0
H006,Sunrise Community Hospital,2025-07-16,264,172,92,29,23.0,8.0,172.0
H003,LifeLine Hospital,2025-10-16,162,81,81,19,37.0,3.0,115.0
H006,Sunrise Community Hospital,2025-06-05,264,219,45,27,23.0,4.0,158.0
H002,CityCare Medical Center,2025-02-19,207,173,34,34,25.0,9.0,95.0
H004,HealthFirst Medical Institute,2025-06-16,290,242,48,18,23.0,12.0,121.0
H006,Sunrise Community Hospital,2025-08-04,264,199,65,26,24.0,10.0,119.0
H007,Unity Wellness Hospital,2025-05-28,221,172,49,33,21.0,0.0,172.0
H007,Unity Wellness Hospital,2025-10-16,221,191,30,42,17.0,14.0,92.0
H005,PrimeCare Hospital,2025-11-02,275,152,123,16,28.0,10.0,70.0
H003,LifeLine Hospital,2025-03-14,162,117,45,13,25.0,5.0,116.0
H001,MedCare General Hospital,2025-10-10,477,419,58,29,41.0,10.0,94.0
H005,PrimeCare Hospital,2025-03-12,275,234,41,21,27.0,8.0,163.0
H002,CityCare Medical Center,2025-02-12,207,202,5,28,23.0,6.0,49.0
H004,HealthFirst Medical Institute,2025-08-10,290,198,92,26,11.0,7.0,183.0
H002,CityCare Medical Center,2025-09-14,207,158,49,14,27.0,11.0,45.0
H004,HealthFirst Medical Institute,2025-12-28,290,181,109,35,23.0,16.0,169.0
H006,Sunrise Community Hospital,2025-10-11,264,145,119,26,1.0,9.0,109.0
H001,MedCare General Hospital,2025-09-04,477,311,166,14,44.0,8.0,87.0
H001,MedCare General Hospital,2025-03-12,477,361,116,36,22.0,12.0,119.0
H006,Sunrise Community Hospital,2025-02-12,264,184,80,36,24.0,8.0,120.0
H005,PrimeCare Hospital,2025-02-13,275,213,62,39,4.0,8.0,146.0
H001,MedCare General Hospital,2025-08-28,477,368,109,24,25.0,11.0,174.0
H003,LifeLine Hospital,2025-02-04,162,108,54,27,25.0,8.0,93.0
H001,MedCare General Hospital,2025-11-21,477,349,128,13,18.0,12.0,194.0
H001,MedCare General Hospital,2025-07-08,477,270,207,31,23.0,11.0,193.0
H005,PrimeCare Hospital,2025-05-04,275,198,77,22,18.0,7.0,138.0
H006,Sunrise Community Hospital,2025-09-24,264,174,90,20,20.0,19.0,187.0
H006,Sunrise Community Hospital,2025-12-03,264,169,95,20,18.0,8.0,140.0
H004,HealthFirst Medical Institute,2025-06-06,290,132,158,36,15.0,3.0,106.0
H004,HealthFirst Medical Institute,2025-11-12,290,242,48,28,26.0,13.0,125.0
H007,Unity Wellness Hospital,2025-03-01,221,157,64,26,33.0,8.0,109.0
H006,Sunrise Community Hospital,2025-04-04,264,217,47,22,33.0,14.0,124.0
H006,Sunrise Community Hospital,2025-07-05,264,133,131,30,15.0,6.0,75.0
H005,PrimeCare Hospital,2025-02-23,275,141,134,22,33.0,4.0,96.0
H002,CityCare Medical Center,2025-11-02,207,136,71,22,24.0,10.0,96.0
H002,CityCare Medical Center,2025-05-24,207,131,76,14,21.0,8.0,217.0
H001,MedCare General Hospital,2025-02-13,477,386,91,18,20.0,8.0,123.0
H003,LifeLine Hospital,2025-06-10,162,107,55,21,26.0,13.0,170.0
H005,PrimeCare Hospital,2025-12-05,275,250,25,32,9.0,8.0,119.0
H007,Unity Wellness Hospital,2025-12-25,221,118,103,37,21.0,13.0,132.0
H003,LifeLine Hospital,2025-04-21,162,121,41,16,16.0,5.0,124.0
H006,Sunrise Community Hospital,2025-02-07,264,251,13,17,23.0,13.0,114.0
H005,PrimeCare Hospital,2025-05-13,275,177,98,38,29.0,5.0,97.0
H003,LifeLine Hospital,2025-10-03,162,92,70,16,34.0,7.0,120.0
H005,PrimeCare Hospital,2025-12-07,275,223,52,33,8.0,10.0,113.0
H005,PrimeCare Hospital,2025-05-03,275,209,66,29,28.0,8.0,106.0
H004,HealthFirst Medical Institute,2025-04-01,290,178,112,30,33.0,9.0,136.0
H004,HealthFirst Medical Institute,2025-10-27,290,171,119,24,33.0,16.0,173.0
H007,Unity Wellness Hospital,2025-03-25,221,176,45,21,13.0,15.0,170.0
H006,Sunrise Community Hospital,2025-02-25,264,212,52,21,22.0,2.0,144.0
H005,PrimeCare Hospital,2025-03-07,275,225,50,33,11.0,10.0,135.0
H007,Unity Wellness Hospital,2025-07-10,221,175,46,15,16.0,0.0,110.0
H006,Sunrise Community Hospital,2025-08-24,264,250,14,17,16.0,16.0,129.0
H005,PrimeCare Hospital,2025-04-27,275,154,121,23,23.0,14.0,125.0
H002,CityCare Medical Center,2025-11-10,207,109,98,18,23.0,8.0,198.0
H006,Sunrise Community Hospital,2025-01-04,264,190,74,23,20.0,9.0,102.0
H004,HealthFirst Medical Institute,2025-03-10,290,232,58,18,14.0,9.0,109.0
H001,MedCare General Hospital,2025-10-26,477,311,166,45,25.0,6.0,181.0
H006,Sunrise Community Hospital,2025-01-21,264,195,69,21,9.0,6.0,120.0
H007,Unity Wellness Hospital,2025-09-20,221,107,114,24,19.0,13.0,59.0
H007,Unity Wellness Hospital,2025-12-06,221,201,20,34,9.0,7.0,175.0
H002,CityCare Medical Center,2025-06-17,207,119,88,17,16.0,11.0,138.0
H005,PrimeCare Hospital,2025-12-20,275,185,90,17,35.0,11.0,148.0
H006,Sunrise Community Hospital,2025-12-13,264,165,99,27,31.0,3.0,98.0
H003,LifeLine Hospital,2025-06-20,162,98,64,14,27.0,2.0,111.0
H006,Sunrise Community Hospital,2025-09-08,264,208,56,32,22.0,12.0,114.0
H004,HealthFirst Medical Institute,2025-05-06,290,188,102,26,26.0,4.0,84.0
H001,MedCare General Hospital,2025-06-25,477,446,31,20,23.0,9.0,167.0
H003,LifeLine Hospital,2025-11-14,162,156,6,13,25.0,13.0,153.0
H001,MedCare General Hospital,2025-08-22,477,467,10,36,28.0,11.0,154.0
H002,CityCare Medical Center,2025-04-10,207,159,48,31,37.0,10.0,119.0
H005,PrimeCare Hospital,2025-08-23,275,195,80,37,19.0,6.0,139.0
H005,PrimeCare Hospital,2025-03-17,275,173,102,23,18.0,0.0,84.0
H005,PrimeCare Hospital,2025-04-04,275,197,78,45,29.0,2.0,166.0
H004,HealthFirst Medical Institute,2025-01-30,290,197,93,10,27.0,5.0,188.0
H002,CityCare Medical Center,2025-07-20,207,191,16,34,31.0,8.0,105.0
H001,MedCare General Hospital,2025-10-17,477,306,171,20,33.0,11.0,120.0
H002,CityCare Medical Center,2025-10-10,207,153,54,33,25.0,3.0,157.0
H007,Unity Wellness Hospital,2025-04-08,221,127,94,23,26.0,14.0,120.0
H002,CityCare Medical Center,2025-06-29,207,197,10,20,35.0,4.0,198.0
H002,CityCare Medical Center,2025-06-07,207,165,42,15,23.0,8.0,143.0
H003,LifeLine Hospital,2025-08-04,162,56,106,26,36.0,7.0,120.0
H006,Sunrise Community Hospital,2025-01-20,264,199,65,23,11.0,12.0,60.0
H001,MedCare General Hospital,2025-07-16,477,388,89,28,23.0,5.0,119.0
H003,LifeLine Hospital,2025-03-21,162,108,54,30,23.0,20.0,135.0
H003,LifeLine Hospital,2025-11-08,162,132,30,34,15.0,6.0,122.0
H007,Unity Wellness Hospital,2025-07-20,221,192,29,4,0.0,4.0,86.0
H003,LifeLine Hospital,2025-07-21,162,158,4,22,25.0,5.0,87.0
H001,MedCare General Hospital,2025-12-21,477,345,132,38,25.0,6.0,90.0
H001,MedCare General Hospital,2025-04-04,477,330,147,29,19.0,12.0,96.0
H007,Unity Wellness Hospital,2025-07-02,221,170,51,16,37.0,11.0,113.0
H006,Sunrise Community Hospital,2025-07-15,264,234,30,26,18.0,0.0,85.0
H005,PrimeCare Hospital,2025-02-15,275,171,104,33,12.0,7.0,38.0
H001,MedCare General Hospital,2025-07-31,477,304,173,24,28.0,13.0,105.0
H001,MedCare General Hospital,2025-05-15,477,414,63,8,21.0,7.0,63.0
H005,PrimeCare Hospital,2025-10-03,275,227,48,26,27.0,10.0,55.0
H006,Sunrise Community Hospital,2025-02-10,264,201,63,18,25.0,13.0,144.0
H001,MedCare General Hospital,2025-10-24,477,384,93,22,20.0,15.0,128.0
H005,PrimeCare Hospital,2025-08-03,275,185,90,17,4.0,9.0,112.0
H001,MedCare General Hospital,2025-06-23,477,321,156,27,29.0,10.0,200.0
H007,Unity Wellness Hospital,2025-10-07,221,181,40,26,18.0,8.0,65.0
H007,Unity Wellness Hospital,2025-12-07,221,195,26,14,27.0,14.0,126.0
H003,LifeLine Hospital,2025-01-07,162,94,68,21,33.0,9.0,144.0
H004,HealthFirst Medical Institute,2025-12-07,290,221,69,34,20.0,5.0,91.0
H007,Unity Wellness Hospital,2025-01-12,221,153,68,21,23.0,6.0,116.0
H004,HealthFirst Medical Institute,2025-01-08,290,213,77,30,26.0,11.0,167.0
H006,Sunrise Community Hospital,2025-12-08,264,235,29,27,21.0,6.0,185.0
H006,Sunrise Community Hospital,2025-07-23,264,184,80,31,17.0,6.0,129.0
H006,Sunrise Community Hospital,2025-01-05,264,136,128,23,19.0,7.0,136.0
H006,Sunrise Community Hospital,2025-04-20,264,196,68,28,11.0,4.0,145.0
H001,MedCare General Hospital,2025-06-20,477,307,170,20,33.0,6.0,176.0
H004,HealthFirst Medical Institute,2025-04-06,290,213,77,25,30.0,6.0,141.0
H004,HealthFirst Medical Institute,2025-06-28,290,270,20,23,17.0,0.0,102.0
H001,MedCare General Hospital,2025-07-30,477,307,170,28,26.0,10.0,97.0
H006,Sunrise Community Hospital,2025-02-21,264,190,74,16,15.0,,91.0
H003,LifeLine Hospital,2025-05-08,162,120,42,21,36.0,9.0,144.0
H004,HealthFirst Medical Institute,2025-06-14,290,232,58,17,21.0,4.0,96.0
H007,Unity Wellness Hospital,2025-02-05,221,182,39,16,18.0,4.0,159.0
H006,Sunrise Community Hospital,2025-03-27,264,201,63,25,22.0,11.0,102.0
H003,LifeLine Hospital,2025-02-21,162,110,52,35,28.0,3.0,90.0
H006,Sunrise Community Hospital,2025-09-28,264,152,112,17,39.0,13.0,135.0
H005,PrimeCare Hospital,2025-03-21,275,246,29,33,27.0,3.0,154.0
H004,HealthFirst Medical Institute,2025-06-19,290,251,39,24,34.0,7.0,100.0
H007,Unity Wellness Hospital,2025-08-28,221,177,44,33,21.0,12.0,76.0
H002,CityCare Medical Center,2025-05-14,207,148,59,19,35.0,7.0,69.0
H001,MedCare General Hospital,2025-09-17,477,337,140,32,26.0,7.0,132.0
H007,Unity Wellness Hospital,2025-10-22,221,133,88,12,30.0,4.0,107.0
H005,PrimeCare Hospital,2025-11-11,275,232,43,25,21.0,1.0,138.0
H004,HealthFirst Medical Institute,2025-12-08,290,219,71,22,16.0,11.0,121.0
H004,HealthFirst Medical Institute,2025-11-20,290,192,98,38,33.0,3.0,147.0
H004,HealthFirst Medical Institute,2025-04-09,290,213,77,31,26.0,13.0,96.0
H001,MedCare General Hospital,2025-06-18,477,340,137,30,27.0,4.0,126.0
H004,HealthFirst Medical Institute,2025-04-08,290,180,110,41,12.0,9.0,174.0
H006,Sunrise Community Hospital,2025-11-08,264,163,101,25,30.0,8.0,56.0
H005,PrimeCare Hospital,2025-12-08,275,159,116,23,26.0,12.0,165.0
H006,Sunrise Community Hospital,2025-04-21,264,237,27,16,26.0,15.0,119.0
H005,PrimeCare Hospital,2025-06-30,275,96,179,34,17.0,6.0,104.0
H002,CityCare Medical Center,2025-11-12,207,161,46,29,23.0,9.0,137.0
H005,PrimeCare Hospital,2025-01-21,275,177,98,29,22.0,8.0,89.0
H002,CityCare Medical Center,2025-12-31,207,121,86,27,30.0,9.0,102.0
H005,PrimeCare Hospital,2025-11-09,275,207,68,26,10.0,7.0,138.0
H007,Unity Wellness Hospital,2025-06-09,221,175,46,28,26.0,0.0,53.0
H007,Unity Wellness Hospital,2025-09-25,221,175,46,26,21.0,3.0,95.0
H005,PrimeCare Hospital,2025-02-16,275,239,36,29,20.0,9.0,98.0
H003,LifeLine Hospital,2025-02-22,162,89,73,26,17.0,13.0,60.0
H001,MedCare General Hospital,2025-04-22,477,319,158,21,27.0,7.0,103.0
H003,LifeLine Hospital,2025-06-09,162,101,61,17,27.0,9.0,179.0
H006,Sunrise Community Hospital,2025-07-10,264,180,84,19,26.0,4.0,78.0
H007,Unity Wellness Hospital,2025-10-25,221,152,69,27,25.0,,146.0
H003,LifeLine Hospital,2025-11-24,162,124,38,15,19.0,14.0,156.0
H006,Sunrise Community Hospital,2025-06-03,264,229,35,32,22.0,7.0,114.0
H007,Unity Wellness Hospital,2025-12-26,221,158,63,40,25.0,5.0,102.0
H007,Unity Wellness Hospital,2025-11-14,221,118,103,30,15.0,10.0,90.0
H003,LifeLine Hospital,2025-04-22,162,104,58,28,17.0,0.0,74.0
H003,LifeLine Hospital,2025-03-01,162,134,28,29,21.0,10.0,68.0
H005,PrimeCare Hospital,2025-06-22,275,193,82,32,23.0,12.0,49.0
H004,HealthFirst Medical Institute,2025-11-08,290,161,129,20,16.0,11.0,184.0
H007,Unity Wellness Hospital,2025-10-13,221,160,61,26,27.0,1.0,150.0
H007,Unity Wellness Hospital,2025-08-11,221,143,78,14,25.0,6.0,146.0
H002,CityCare Medical Center,2025-03-12,207,200,7,12,40.0,9.0,120.0
H005,PrimeCare Hospital,2025-05-01,275,148,127,15,14.0,10.0,164.0
H006,Sunrise Community Hospital,2025-12-14,264,185,79,14,21.0,8.0,117.0
H007,Unity Wellness Hospital,2025-04-19,221,137,84,26,34.0,9.0,170.0
H003,LifeLine Hospital,2025-05-30,162,90,72,17,32.0,5.0,157.0
H001,MedCare General Hospital,2025-08-01,477,387,90,2,10.0,2.0,105.0
H005,PrimeCare Hospital,2025-06-12,275,166,109,9,13.0,1.0,84.0
H003,LifeLine Hospital,2025-12-28,162,143,19,19,15.0,7.0,111.0
H002,CityCare Medical Center,2025-12-02,207,178,29,19,24.0,9.0,99.0
H006,Sunrise Community Hospital,2025-10-13,264,168,96,13,12.0,3.0,160.0
H003,LifeLine Hospital,2025-09-26,162,75,87,30,28.0,8.0,93.0
H007,Unity Wellness Hospital,2025-05-05,221,185,36,22,24.0,7.0,96.0
H005,PrimeCare Hospital,2025-04-14,275,202,73,20,20.0,5.0,129.0
H003,LifeLine Hospital,2025-09-27,162,115,47,30,30.0,21.0,86.0
H002,CityCare Medical Center,2025-03-13,207,144,63,22,34.0,8.0,31.0
H003,LifeLine Hospital,2025-10-30,162,121,41,8,24.0,8.0,151.0
H006,Sunrise Community Hospital,2025-10-15,264,176,88,29,22.0,9.0,211.0
H001,MedCare General Hospital,2025-08-07,477,339,138,24,24.0,11.0,149.0
H002,CityCare Medical Center,2025-07-09,207,143,64,19,11.0,8.0,100.0
H003,LifeLine Hospital,2025-06-27,162,104,58,26,22.0,7.0,150.0
H004,HealthFirst Medical Institute,2025-05-27,290,263,27,21,23.0,9.0,93.0
H004,HealthFirst Medical Institute,2025-05-28,290,243,47,26,13.0,7.0,84.0
H006,Sunrise Community Hospital,2025-10-27,264,176,88,28,34.0,10.0,167.0
H007,Unity Wellness Hospital,2025-07-01,221,97,124,23,20.0,13.0,121.0
H007,Unity Wellness Hospital,2025-03-15,221,136,85,32,23.0,10.0,88.0
H006,Sunrise Community Hospital,2025-07-02,264,174,90,22,28.0,,199.0
H006,Sunrise Community Hospital,2025-08-17,264,202,62,21,22.0,8.0,140.0
H003,LifeLine Hospital,2025-08-28,162,126,36,7,19.0,6.0,139.0
H007,Unity Wellness Hospital,2025-03-11,221,126,95,18,21.0,7.0,102.0
H003,LifeLine Hospital,2025-03-13,162,128,34,3,20.0,3.0,145.0
H003,LifeLine Hospital,2025-10-15,162,158,4,24,24.0,11.0,91.0
H004,HealthFirst Medical Institute,2025-01-04,290,194,96,33,40.0,7.0,137.0
H005,PrimeCare Hospital,2025-01-16,275,263,12,28,28.0,11.0,135.0
H003,LifeLine Hospital,2025-01-27,162,113,49,22,14.0,4.0,138.0
H002,CityCare Medical Center,2025-02-27,207,135,72,23,15.0,9.0,149.0
H004,HealthFirst Medical Institute,2025-11-29,290,226,64,19,19.0,6.0,174.0
H002,CityCare Medical Center,2025-12-29,207,155,52,22,23.0,10.0,138.0
H007,Unity Wellness Hospital,2025-05-23,221,135,86,20,18.0,15.0,124.0
H001,MedCare General Hospital,2025-11-18,477,288,189,25,26.0,15.0,109.0
H001,MedCare General Hospital,2025-09-12,477,405,72,29,21.0,4.0,168.0
H006,Sunrise Community Hospital,2025-08-28,264,198,66,29,21.0,13.0,127.0
H007,Unity Wellness Hospital,2025-06-07,221,156,65,22,14.0,16.0,125.0
H002,CityCare Medical Center,2025-07-19,207,142,65,31,12.0,8.0,117.0
H001,MedCare General Hospital,2025-02-21,477,315,162,35,27.0,6.0,150.0
H006,Sunrise Community Hospital,2025-06-20,264,172,92,38,15.0,5.0,49.0
H003,LifeLine Hospital,2025-10-23,162,103,59,22,25.0,8.0,123.0
H002,CityCare Medical Center,2025-07-22,207,141,66,40,41.0,15.0,113.0
H003,LifeLine Hospital,2025-12-01,162,120,42,15,25.0,13.0,127.0
H005,PrimeCare Hospital,2025-07-04,275,143,132,32,27.0,11.0,156.0
H001,MedCare General Hospital,2025-04-07,477,336,141,17,25.0,2.0,89.0
H001,MedCare General Hospital,2025-09-09,477,274,203,38,18.0,10.0,117.0
H006,Sunrise Community Hospital,2025-08-01,264,258,6,14,25.0,4.0,204.0
H007,Unity Wellness Hospital,2025-01-17,221,143,78,29,31.0,2.0,84.0
H002,CityCare Medical Center,2025-09-06,207,157,50,39,25.0,9.0,147.0
H006,Sunrise Community Hospital,2025-01-07,264,175,89,27,35.0,,167.0
H007,Unity Wellness Hospital,2025-03-22,221,123,98,29,34.0,15.0,149.0
H006,Sunrise Community Hospital,2025-04-01,264,163,101,12,15.0,12.0,106.0
H005,PrimeCare Hospital,2025-10-29,275,131,144,18,27.0,8.0,150.0
H002,CityCare Medical Center,2025-03-10,207,123,84,18,22.0,3.0,138.0
H005,PrimeCare Hospital,2025-10-30,275,202,73,27,29.0,9.0,132.0
H003,LifeLine Hospital,2025-11-25,162,147,15,28,16.0,3.0,172.0
H004,HealthFirst Medical Institute,2025-09-01,290,225,65,19,27.0,8.0,140.0
H006,Sunrise Community Hospital,2025-05-29,264,189,75,27,27.0,9.0,107.0
H004,HealthFirst Medical Institute,2025-06-25,290,284,6,16,29.0,3.0,36.0
H002,CityCare Medical Center,2025-08-05,207,167,40,21,20.0,4.0,170.0
H002,CityCare Medical Center,2025-04-26,207,131,76,26,21.0,6.0,186.0
H003,LifeLine Hospital,2025-11-23,162,104,58,30,28.0,13.0,184.0
H002,CityCare Medical Center,2025-03-27,207,145,62,37,23.0,3.0,69.0
H005,PrimeCare Hospital,2025-06-18,275,177,98,19,20.0,3.0,163.0
H006,Sunrise Community Hospital,2025-12-18,264,163,101,19,25.0,7.0,154.0
H002,CityCare Medical Center,2025-03-20,207,155,52,21,40.0,8.0,110.0
H005,PrimeCare Hospital,2025-07-29,275,208,67,21,28.0,10.0,171.0
H001,MedCare General Hospital,2025-01-31,477,357,120,27,25.0,6.0,131.0
H005,PrimeCare Hospital,2025-07-27,275,210,65,17,25.0,3.0,113.0
H006,Sunrise Community Hospital,2025-10-14,264,142,122,27,23.0,7.0,174.0
H004,HealthFirst Medical Institute,2025-09-20,290,194,96,32,15.0,4.0,147.0
H004,HealthFirst Medical Institute,2025-07-11,290,186,104,4,13.0,3.0,125.0
H007,Unity Wellness Hospital,2025-10-03,221,166,55,15,21.0,0.0,117.0
H006,Sunrise Community Hospital,2025-11-10,264,173,91,31,23.0,13.0,147.0
H002,CityCare Medical Center,2025-04-07,207,202,5,29,28.0,8.0,155.0
H003,LifeLine Hospital,2025-09-06,162,100,62,15,23.0,6.0,77.0
H007,Unity Wellness Hospital,2025-04-29,221,142,79,33,31.0,10.0,127.0
H004,HealthFirst Medical Institute,2025-09-07,290,228,62,33,4.0,10.0,100.0
H002,CityCare Medical Center,2025-05-25,207,159,48,13,32.0,6.0,203.0
H004,HealthFirst Medical Institute,2025-11-13,290,148,142,22,39.0,8.0,147.0
H001,MedCare General Hospital,2025-08-26,477,397,80,17,28.0,8.0,81.0
H001,MedCare General Hospital,2025-04-20,477,297,180,29,26.0,8.0,95.0
H006,Sunrise Community Hospital,2025-07-26,264,223,41,16,28.0,6.0,168.0
H006,Sunrise Community Hospital,2025-11-09,264,163,101,11,33.0,7.0,99.0
H002,CityCare Medical Center,2025-02-25,207,158,49,17,33.0,5.0,72.0
H005,PrimeCare Hospital,2025-03-20,275,211,64,20,22.0,14.0,144.0
H001,MedCare General Hospital,2025-09-10,477,375,102,25,16.0,11.0,126.0
H005,PrimeCare Hospital,2025-12-18,275,175,100,23,12.0,8.0,166.0
H004,HealthFirst Medical Institute,2025-05-14,290,191,99,24,29.0,8.0,143.0
H004,HealthFirst Medical Institute,2025-08-19,290,137,153,27,19.0,14.0,137.0
H006,Sunrise Community Hospital,2025-05-23,264,223,41,33,16.0,13.0,71.0
H002,CityCare Medical Center,2025-10-14,207,152,55,17,33.0,6.0,177.0
H002,CityCare Medical Center,2025-10-17,207,143,64,18,29.0,12.0,83.0
H002,CityCare Medical Center,2025-01-29,207,151,56,23,22.0,8.0,165.0
H004,HealthFirst Medical Institute,2025-03-17,290,217,73,21,16.0,11.0,64.0
H003,LifeLine Hospital,2025-09-29,162,91,71,33,18.0,10.0,114.0
H002,CityCare Medical Center,2025-06-13,207,193,14,23,18.0,5.0,76.0
H004,HealthFirst Medical Institute,2025-05-20,290,178,112,26,13.0,7.0,133.0
H007,Unity Wellness Hospital,2025-03-18,221,168,53,27,32.0,11.0,63.0
H006,Sunrise Community Hospital,2025-03-15,264,196,68,24,27.0,7.0,82.0
H006,Sunrise Community Hospital,2025-08-10,264,220,44,15,15.0,5.0,60.0
H001,MedCare General Hospital,2025-11-15,477,282,195,1,31.0,1.0,25.0
H002,CityCare Medical Center,2025-10-12,207,168,39,28,25.0,6.0,45.0
H007,Unity Wellness Hospital,2025-03-13,221,144,77,23,20.0,4.0,74.0
H002,CityCare Medical Center,2025-01-23,207,111,96,27,32.0,10.0,123.0
H004,HealthFirst Medical Institute,2025-05-02,290,262,28,27,25.0,13.0,116.0
H007,Unity Wellness Hospital,2025-02-19,221,181,40,9,27.0,9.0,118.0
H004,HealthFirst Medical Institute,2025-10-31,290,229,61,32,32.0,12.0,94.0
H004,HealthFirst Medical Institute,2025-11-01,290,198,92,31,23.0,6.0,135.0
H005,PrimeCare Hospital,2025-11-16,275,265,10,29,15.0,10.0,144.0
H006,Sunrise Community Hospital,2025-07-06,264,203,61,23,27.0,2.0,62.0
H004,HealthFirst Medical Institute,2025-12-21,290,186,104,24,8.0,9.0,61.0
H001,MedCare General Hospital,2025-04-11,477,396,81,40,28.0,3.0,93.0
H002,CityCare Medical Center,2025-02-15,207,169,38,18,21.0,6.0,66.0
H003,LifeLine Hospital,2025-08-20,162,85,77,19,35.0,11.0,103.0
H001,MedCare General Hospital,2025-09-19,477,292,185,25,32.0,8.0,138.0
H006,Sunrise Community Hospital,2025-01-13,264,187,77,11,23.0,10.0,184.0
H006,Sunrise Community Hospital,2025-05-07,264,223,41,31,22.0,7.0,97.0
H005,PrimeCare Hospital,2025-06-05,275,203,72,24,26.0,13.0,173.0
H006,Sunrise Community Hospital,2025-08-18,264,178,86,21,31.0,16.0,89.0
H001,MedCare General Hospital,2025-06-29,477,380,97,23,33.0,9.0,87.0
